item_id,sku_id,dept_id,cat_id,store_id,state_id
FOODS_1_001_CA_1,FOODS_1_001,FOODS_1,FOODS,CA_1,CA
FOODS_1_001_CA_2,FOODS_1_001,FOODS_1,FOODS,CA_2,CA
FOODS_1_001_CA_3,FOODS_1_001,FOODS_1,FOODS,CA_3,CA
FOODS_1_001_CA_4,FOODS_1_001,FOODS_1,FOODS,CA_4,CA
FOODS_1_001_TX_1,FOODS_1_001,FOODS_1,FOODS,TX_1,TX
FOODS_1_001_TX_2,FOODS_1_001,FOODS_1,FOODS,TX_2,TX
FOODS_1_001_TX_3,FOODS_1_001,FOODS_1,FOODS,TX_3,TX
FOODS_1_001_WI_1,FOODS_1_001,FOODS_1,FOODS,WI_1,WI
FOODS_1_001_WI_2,FOODS_1_001,FOODS_1,FOODS,WI_2,WI
FOODS_1_001_WI_3,FOODS_1_001,FOODS_1,FOODS,WI_3,WI
FOODS_1_002_CA_1,FOODS_1_002,FOODS_1,FOODS,CA_1,CA
FOODS_1_002_CA_2,FOODS_1_002,FOODS_1,FOODS,CA_2,CA
FOODS_1_002_CA_3,FOODS_1_002,FOODS_1,FOODS,CA_3,CA
FOODS_1_002_CA_4,FOODS_1_002,FOODS_1,FOODS,CA_4,CA
FOODS_1_002_TX_1,FOODS_1_002,FOODS_1,FOODS,TX_1,TX
FOODS_1_002_TX_2,FOODS_1_002,FOODS_1,FOODS,TX_2,TX
FOODS_1_002_TX_3,FOODS_1_002,FOODS_1,FOODS,TX_3,TX
FOODS_1_002_WI_1,FOODS_1_002,FOODS_1,FOODS,WI_1,WI
FOODS_1_002_WI_2,FOODS_1_002,FOODS_1,FOODS,WI_2,WI
FOODS_1_002_WI_3,FOODS_1_002,FOODS_1,FOODS,WI_3,WI
FOODS_1_003_CA_1,FOODS_1_003,FOODS_1,FOODS,CA_1,CA
FOODS_1_003_CA_2,FOODS_1_003,FOODS_1,FOODS,CA_2,CA
FOODS_1_003_CA_3,FOODS_1_003,FOODS_1,FOODS,CA_3,CA
FOODS_1_003_CA_4,FOODS_1_003,FOODS_1,FOODS,CA_4,CA
FOODS_1_003_TX_1,FOODS_1_003,FOODS_1,FOODS,TX_1,TX
FOODS_1_003_TX_2,FOODS_1_003,FOODS_1,FOODS,TX_2,TX
FOODS_1_003_TX_3,FOODS_1_003,FOODS_1,FOODS,TX_3,TX
FOODS_1_003_WI_1,FOODS_1_003,FOODS_1,FOODS,WI_1,WI
FOODS_1_003_WI_2,FOODS_1_003,FOODS_1,FOODS,WI_2,WI
FOODS_1_003_WI_3,FOODS_1_003,FOODS_1,FOODS,WI_3,WI
FOODS_1_004_CA_1,FOODS_1_004,FOODS_1,FOODS,CA_1,CA
FOODS_1_004_CA_2,FOODS_1_004,FOODS_1,FOODS,CA_2,CA
FOODS_1_004_CA_3,FOODS_1_004,FOODS_1,FOODS,CA_3,CA
FOODS_1_004_CA_4,FOODS_1_004,FOODS_1,FOODS,CA_4,CA
FOODS_1_004_TX_1,FOODS_1_004,FOODS_1,FOODS,TX_1,TX
FOODS_1_004_TX_2,FOODS_1_004,FOODS_1,FOODS,TX_2,TX
FOODS_1_004_TX_3,FOODS_1_004,FOODS_1,FOODS,TX_3,TX
FOODS_1_004_WI_1,FOODS_1_004,FOODS_1,FOODS,WI_1,WI
FOODS_1_004_WI_2,FOODS_1_004,FOODS_1,FOODS,WI_2,WI
FOODS_1_004_WI_3,FOODS_1_004,FOODS_1,FOODS,WI_3,WI
FOODS_1_005_CA_1,FOODS_1_005,FOODS_1,FOODS,CA_1,CA
FOODS_1_005_CA_2,FOODS_1_005,FOODS_1,FOODS,CA_2,CA
FOODS_1_005_CA_3,FOODS_1_005,FOODS_1,FOODS,CA_3,CA
FOODS_1_005_CA_4,FOODS_1_005,FOODS_1,FOODS,CA_4,CA
FOODS_1_005_TX_1,FOODS_1_005,FOODS_1,FOODS,TX_1,TX
FOODS_1_005_TX_2,FOODS_1_005,FOODS_1,FOODS,TX_2,TX
FOODS_1_005_TX_3,FOODS_1_005,FOODS_1,FOODS,TX_3,TX
FOODS_1_005_WI_1,FOODS_1_005,FOODS_1,FOODS,WI_1,WI
FOODS_1_005_WI_2,FOODS_1_005,FOODS_1,FOODS,WI_2,WI
FOODS_1_005_WI_3,FOODS_1_005,FOODS_1,FOODS,WI_3,WI
FOODS_1_006_CA_1,FOODS_1_006,FOODS_1,FOODS,CA_1,CA
FOODS_1_006_CA_2,FOODS_1_006,FOODS_1,FOODS,CA_2,CA
FOODS_1_006_CA_3,FOODS_1_006,FOODS_1,FOODS,CA_3,CA
FOODS_1_006_CA_4,FOODS_1_006,FOODS_1,FOODS,CA_4,CA
FOODS_1_006_TX_1,FOODS_1_006,FOODS_1,FOODS,TX_1,TX
FOODS_1_006_TX_2,FOODS_1_006,FOODS_1,FOODS,TX_2,TX
FOODS_1_006_TX_3,FOODS_1_006,FOODS_1,FOODS,TX_3,TX
FOODS_1_006_WI_1,FOODS_1_006,FOODS_1,FOODS,WI_1,WI
FOODS_1_006_WI_2,FOODS_1_006,FOODS_1,FOODS,WI_2,WI
FOODS_1_006_WI_3,FOODS_1_006,FOODS_1,FOODS,WI_3,WI
FOODS_1_008_CA_1,FOODS_1_008,FOODS_1,FOODS,CA_1,CA
FOODS_1_008_CA_2,FOODS_1_008,FOODS_1,FOODS,CA_2,CA
FOODS_1_008_CA_3,FOODS_1_008,FOODS_1,FOODS,CA_3,CA
FOODS_1_008_CA_4,FOODS_1_008,FOODS_1,FOODS,CA_4,CA
FOODS_1_008_TX_1,FOODS_1_008,FOODS_1,FOODS,TX_1,TX
FOODS_1_008_TX_2,FOODS_1_008,FOODS_1,FOODS,TX_2,TX
FOODS_1_008_TX_3,FOODS_1_008,FOODS_1,FOODS,TX_3,TX
FOODS_1_008_WI_1,FOODS_1_008,FOODS_1,FOODS,WI_1,WI
FOODS_1_008_WI_2,FOODS_1_008,FOODS_1,FOODS,WI_2,WI
FOODS_1_008_WI_3,FOODS_1_008,FOODS_1,FOODS,WI_3,WI
FOODS_1_009_CA_1,FOODS_1_009,FOODS_1,FOODS,CA_1,CA
FOODS_1_009_CA_2,FOODS_1_009,FOODS_1,FOODS,CA_2,CA
FOODS_1_009_CA_3,FOODS_1_009,FOODS_1,FOODS,CA_3,CA
FOODS_1_009_CA_4,FOODS_1_009,FOODS_1,FOODS,CA_4,CA
FOODS_1_009_TX_1,FOODS_1_009,FOODS_1,FOODS,TX_1,TX
FOODS_1_009_TX_2,FOODS_1_009,FOODS_1,FOODS,TX_2,TX
FOODS_1_009_TX_3,FOODS_1_009,FOODS_1,FOODS,TX_3,TX
FOODS_1_009_WI_1,FOODS_1_009,FOODS_1,FOODS,WI_1,WI
FOODS_1_009_WI_2,FOODS_1_009,FOODS_1,FOODS,WI_2,WI
FOODS_1_009_WI_3,FOODS_1_009,FOODS_1,FOODS,WI_3,WI
FOODS_1_010_CA_1,FOODS_1_010,FOODS_1,FOODS,CA_1,CA
FOODS_1_010_CA_2,FOODS_1_010,FOODS_1,FOODS,CA_2,CA
FOODS_1_010_CA_3,FOODS_1_010,FOODS_1,FOODS,CA_3,CA
FOODS_1_010_CA_4,FOODS_1_010,FOODS_1,FOODS,CA_4,CA
FOODS_1_010_TX_1,FOODS_1_010,FOODS_1,FOODS,TX_1,TX
FOODS_1_010_TX_2,FOODS_1_010,FOODS_1,FOODS,TX_2,TX
FOODS_1_010_TX_3,FOODS_1_010,FOODS_1,FOODS,TX_3,TX
FOODS_1_010_WI_1,FOODS_1_010,FOODS_1,FOODS,WI_1,WI
FOODS_1_010_WI_2,FOODS_1_010,FOODS_1,FOODS,WI_2,WI
FOODS_1_010_WI_3,FOODS_1_010,FOODS_1,FOODS,WI_3,WI
FOODS_1_011_CA_1,FOODS_1_011,FOODS_1,FOODS,CA_1,CA
FOODS_1_011_CA_2,FOODS_1_011,FOODS_1,FOODS,CA_2,CA
FOODS_1_011_CA_3,FOODS_1_011,FOODS_1,FOODS,CA_3,CA
FOODS_1_011_CA_4,FOODS_1_011,FOODS_1,FOODS,CA_4,CA
FOODS_1_011_TX_1,FOODS_1_011,FOODS_1,FOODS,TX_1,TX
FOODS_1_011_TX_2,FOODS_1_011,FOODS_1,FOODS,TX_2,TX
FOODS_1_011_TX_3,FOODS_1_011,FOODS_1,FOODS,TX_3,TX
FOODS_1_011_WI_1,FOODS_1_011,FOODS_1,FOODS,WI_1,WI
FOODS_1_011_WI_2,FOODS_1_011,FOODS_1,FOODS,WI_2,WI
FOODS_1_011_WI_3,FOODS_1_011,FOODS_1,FOODS,WI_3,WI
